province,city,county,省,市,县!按照格式添加.这行不要改动.中文间的逗号不能全角！
Anhui,Anqing,Anqing,安徽省,安庆市,安庆
Anhui,Anqing,Huaining
Anhui,Anqing,Qianshan
Anhui,Anqing,Susong
Anhui,Anqing,Taihu
Anhui,Anqing,Tongcheng
Anhui,Anqing,Wangjiang
Anhui,Anqing,Yuexi
Anhui,Anqing,Zongyang
Anhui,Bengbu,Bengbu
Anhui,Bengbu,Guzhen
Anhui,Bengbu,Huaiyuan
Anhui,Bengbu,Wuhe
Anhui,Bozhou,Boxian
Anhui,Bozhou,Guoyang
Anhui,Bozhou,Lixin
Anhui,Bozhou,Mengcheng
Anhui,Chaohu,Chao
Anhui,Chaohu,Hanshan
Anhui,Chaohu,He
Anhui,Chaohu,Lujiang
Anhui,Chaohu,Wuwei
Anhui,Chizhou,Dongzhi
Anhui,Chizhou,Guichi
Anhui,Chizhou,Qingyang
Anhui,Chizhou,Shitai
Anhui,Chuzhou,Chuxian
Anhui,Chuzhou,Dingyuan
Anhui,Chuzhou,Fengyang
Anhui,Chuzhou,Jiashan
Anhui,Chuzhou,Lai'an
Anhui,Chuzhou,Quanjiao
Anhui,Chuzhou,Tianchang
Anhui,Fuyang,Funan
Anhui,Fuyang,Fuyang
Anhui,Fuyang,Jieshou
Anhui,Fuyang,Linquan
Anhui,Fuyang,Taihe
Anhui,Fuyang,Yaohai
Anhui,Hefei,Changfeng
Anhui,Hefei,Feidong
Anhui,Hefei,Feixi
Anhui,Hefei,Hefei
Anhui,Huaibei,Huaibei
Anhui,Huaibei,Suixi
Anhui,Huainan,Fengtai
Anhui,Huainan,Huainan
Anhui,Huangshan,Qimen
Anhui,Huangshan,She
Anhui,Huangshan,Taiping
Anhui,Huangshan,Tunxi
Anhui,Huangshan,Xiuning
Anhui,Huangshan,Yi
Anhui,Lu'an,Huoqiu
Anhui,Lu'an,Huoshan
Anhui,Lu'an,Jinzhai
Anhui,Lu'an,Lu An
Anhui,Lu'an,Shou
Anhui,Lu'an,Shucheng
Anhui,Ma'anshan,Dangtu
Anhui,Ma'anshan,Maanshan
Anhui,Suzhou,Dangshan
Anhui,Suzhou,Lingbi
Anhui,Suzhou,Si
Anhui,Suzhou,Xiao
Anhui,Suzhou,Yongqiao
Anhui,Tongling,Tongling
Anhui,Wuhu,Fanchang
Anhui,Wuhu,Nanling
Anhui,Wuhu,Wuhu
Anhui,Xuancheng,Guangde
Anhui,Xuancheng,Jingde
Anhui,Xuancheng,Jing
Anhui,Xuancheng,Jixi
Anhui,Xuancheng,Langxi
Anhui,Xuancheng,Ningguo
Anhui,Xuancheng,Xuanzhou
Beijing,Beijing,Beijing
Beijing,Beijing,Changping
Beijing,Beijing,Daxing
Beijing,Beijing,Fangshan
Beijing,Beijing,Huairou
Beijing,Beijing,Mentougou
Beijing,Beijing,Miyun
Beijing,Beijing,Pinggu
Beijing,Beijing,Shunyi
Beijing,Beijing,Tongzhou
Beijing,Beijing,Yanqing
Chongqing,Chongqing,Ba
Chongqing,Chongqing,Bishan
Chongqing,Chongqing,Changshou
Chongqing,Chongqing,Chengkou
Chongqing,Chongqing,Chongqing
Chongqing,Chongqing,Dazu
Chongqing,Chongqing,Dianjiang
Chongqing,Chongqing,Fengdu
Chongqing,Chongqing,Fengjie
Chongqing,Chongqing,Fuling
Chongqing,Chongqing,Hechuan
Chongqing,Chongqing,Jiangbei
Chongqing,Chongqing,Jiangjin
Chongqing,Chongqing,Kai
Chongqing,Chongqing,Liangping
Chongqing,Chongqing,Nanchuan
Chongqing,Chongqing,Pengshui
Chongqing,Chongqing,Qianjiang
Chongqing,Chongqing,Qijiang
Chongqing,Chongqing,Rongchang
Chongqing,Chongqing,Shizhu
Chongqing,Chongqing,Tongliang
Chongqing,Chongqing,Tongnan
Chongqing,Chongqing,Wan
Chongqing,Chongqing,Wulong
Chongqing,Chongqing,Wushan
Chongqing,Chongqing,Wuxi
Chongqing,Chongqing,Xiushan
Chongqing,Chongqing,Yongchuan
Chongqing,Chongqing,Youyang
Chongqing,Chongqing,Yunyang
Chongqing,Chongqing,Zhong
Fujian,Fuzhou,Changle
Fujian,Fuzhou,Fuqing
Fujian,Fuzhou,Fuzhou
Fujian,Fuzhou,Lianjiang
Fujian,Fuzhou,Luoyuan
Fujian,Fuzhou,Minhou
Fujian,Fuzhou,Minqing
Fujian,Fuzhou,Yongtai
Fujian,Longyan,Changting
Fujian,Longyan,Liancheng
Fujian,Longyan,Luojiang
Fujian,Longyan,Shanghang
Fujian,Longyan,Wuping
Fujian,Longyan,Yongding
Fujian,Longyan,Zhangping
Fujian,Nanping,Chongan
Fujian,Nanping,Guangze
Fujian,Nanping,Jian'ou
Fujian,Nanping,Jianyang
Fujian,Nanping,Nanping
Fujian,Nanping,Pucheng
Fujian,Nanping,Shaowu
Fujian,Nanping,Shunchang
Fujian,Nanping,Songxi
Fujian,Nanping,Zhenghe
Fujian,Ningde,Fu'an
Fujian,Ningde,Fuding
Fujian,Ningde,Gutian
Fujian,Ningde,Jiaocheng
Fujian,Ningde,Pingnan
Fujian,Ningde,Shouning
Fujian,Ningde,Xiapu
Fujian,Ningde,Zherong
Fujian,Ningde,Zhouning
Fujian,Putian,Putian County
Fujian,Putian,Putian
Fujian,Putian,Xianyou
Fujian,Quanzhou,Anxi
Fujian,Quanzhou,Dehua
Fujian,Quanzhou,Hui'an
Fujian,Quanzhou,Jinjiang
Fujian,Quanzhou,Nan'an
Fujian,Quanzhou,Sanyuan
Fujian,Quanzhou,Shishi
Fujian,Quanzhou,Yongchun
Fujian,Sanming,Datian
Fujian,Sanming,Jiangle
Fujian,Sanming,Jianning
Fujian,Sanming,Mingxi
Fujian,Sanming,Ninghua
Fujian,Sanming,Qingliu
Fujian,Sanming,Shanming
Fujian,Sanming,Sha
Fujian,Sanming,Taining
Fujian,Sanming,Yong'an
Fujian,Sanming,Youxi
Fujian,Xiamen,Tong'an
Fujian,Xiamen,Xiamen
Fujian,Zhangzhou,Changtai
Fujian,Zhangzhou,Dongshan
Fujian,Zhangzhou,Hua'an
Fujian,Zhangzhou,Longhai
Fujian,Zhangzhou,Nanjing
Fujian,Zhangzhou,Pinghe
Fujian,Zhangzhou,Zhangpu
Fujian,Zhangzhou,Zhangzhou
Fujian,Zhangzhou,Zhao'an
Gansu,Baiyin,Baiyin
Gansu,Baiyin,Huining
Gansu,Baiyin,Jingtai
Gansu,Baiyin,Jingyuan
Gansu,Baiyin,Pingchuan
Gansu,Dingxi,Dingxi
Gansu,Dingxi,Lintao
Gansu,Dingxi,Longxi
Gansu,Dingxi,Min
Gansu,Dingxi,Tongwei
Gansu,Dingxi,Weiyuan
Gansu,Dingxi,Zhang
Gansu,Gannan Tibetan,Jon锚
Gansu,Gannan Tibetan,Lintan
Gansu,Gannan Tibetan,Luqu
Gansu,Gannan Tibetan,Maqu
Gansu,Gannan Tibetan,T锚wo
Gansu,Gannan Tibetan,Xiahe
Gansu,Gannan Tibetan,Zhugqu
